targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
RBS1768,9308,PGC067067,1,"('324.7079166666667', '-38.477777777777774')","('324.43825', '-38.49256')",0.014054122774218225,0.05611087935814263,241.01580330753413,303.8838725566068,465.5998339556428,x,8951.0,9162.0,-146.0,126.07,x,45.2,5.0,84.0,160.0,74.0,-99.99,x,-99.99,-99,Sb,Sb,0.030561,0.18299,x,?,True,True,9308,"9284, 9332",63,1.41E+13,17.9,no,"not labeled, def looks like a blended component though : ONLY 1 GALAXY"
RBS1768,9360,PGC067067,1,"('324.7079166666667', '-38.477777777777774')","('324.43825', '-38.49256')",0.008986431140428719,0.035878194724885674,241.01580330753413,303.8838725566068,465.5998339556428,x,8951.0,9162.0,-198.0,126.07,x,45.2,5.0,84.0,160.0,74.0,-99.99,x,-99.99,-99,Sb,Sb,0.030561,0.18299,x,?,False,True,9360,"9332, 9426",306,1.25E+14,31.8,Lya,"blended with 9308, 9434 : ONLY 1 GALAXY"
RBS1768,9434,PGC067067,1,"('324.7079166666667', '-38.477777777777774')","('324.43825', '-38.49256')",0.0037667621588024333,0.015038742756047763,241.01580330753413,303.8838725566068,465.5998339556428,x,8951.0,9162.0,-272.0,126.07,x,45.2,5.0,84.0,160.0,74.0,-99.99,x,-99.99,-99,Sb,Sb,0.030561,0.18299,x,?,False,True,9434,"9420, 9506",161,4.72E+13,25.2,Lya,blended with 9360 : ONLY 1 GALAXY
RBS2000,1598,NGC7582:[ZM98]0024,4,"('351.18625', '-40.680277777777775')","('350.20458', '-41.73083')",0.064775913073155,0.0,13.586814548942638,0.5856620185738528,22.41287639257087,x,1369.0,1623.0,25.0,1.0,x,0.7,0.6,30.0,47.0,11.7,99.58,.SBS9..,0.83,-99,SAB(s)m,SAB(s)m,0.005414,0.17359,x,?,True,False,1598,"1555, 1641",35,6.81E+12,29,Lya,weak : VIRIAL AND CUSTOM INCLUDE MISMATCH
RBS2000,7681.0,x,0,"('351.18625', '-40.68027778')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.17359,x,False,False,False,7681,"7654, 7718",45,9.31E+12,21.9,Lya,weak : NO GALAXIES
MRC2251-178,888,UMaDwarf,1,"('343.52458333333334', '-17.581944444444446')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,253.86277185248528,x,1313.0,1101.0,213.0,0.1,x,-99.99,-99.99,-99,-99,34.7,-99.99,x,-99.99,-99,dSph,dSph,0.003673,0.06609,x,?,False,False,888,"856, 918",34,6.84E+12,21.4,Lya,weak : ONLY 1 GALAXY
MRC2251-178,2265.0,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,False,False,False,2265,"2210, 2322",76,1.55E+13,39.4,Lya, : NO GALAXIES
MRC2251-178,3061,PGC069976,3,"('343.52458333333334', '-17.581944444444446')","('343.6474', '-18.00054')",7.727733476096536e-06,1.3302405916787247e-25,97.63112263186666,42.61276803963807,319.50588444275616,x,2991.0,3267.0,206.0,42.12,x,12.2,7.3,53.0,40.0,55.6,75.54,.IBS9..,-99.99,40.0,IB(s)m,IB(s)m,0.010898,0.06609,x,?,False,False,3061,"3006, 3116",69,1.39E+13,43.1,Lya,blended with 3205 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRC2251-178,3205,PGC069976,3,"('343.52458333333334', '-17.581944444444446')","('343.6474', '-18.00054')",2.027960311434158e-05,3.490900835190043e-25,97.63112263186666,42.61276803963807,319.50588444275616,x,2991.0,3267.0,62.0,42.12,x,12.2,7.3,53.0,40.0,55.6,75.54,.IBS9..,-99.99,40.0,IB(s)m,IB(s)m,0.010898,0.06609,x,?,False,False,3205,"3116, 3318",335,9.38E+13,52.9,Lya,blended with 3061 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRC2251-178,4698.0,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,False,False,False,4698,"4674, 4720",20,3.88E+12,15.6,Lya,weak : NO GALAXIES
MRC2251-178,8429.0,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,False,False,False,8429,"8382, 8480",40,7.74E+12,35.8,Lya,weak : NO GALAXIES
MRC2251-178,9029,MCG-03-58-009,1,"('343.52458333333334', '-17.581944444444446')","('343.42021', '-17.47889')",0.34193287528818034,1.4886043141775387,342.75873676985344,653.420061675489,355.0682459580529,x,8754.0,9030.0,1.0,142.0,x,75.3,50.5,48.0,27.0,71.0,62.83,.S?....,0.66,27.0,Sc,Sc,0.030121,0.06609,x,?,True,True,9029,"8961, 9095",62,1.22E+13,45.7,Lya, : ONLY 1 GALAXY
MRC2251-178,9735.0,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,False,False,False,9735,"9668, 9798",188,4.52E+13,40.8,Lya, : NO GALAXIES
1H0419-577,1075,NGC1574,15,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.24065921574776186,0.12854059413035215,168.90441325282507,140.29611541307906,199.52704780119473,x,902.0,1041.0,-34.0,19.3,x,27.0,24.6,24.0,45.0,67.5,203.31,.LAS-*.,-99.99,35.0,SA0^-,SA0^-,0.003472,0.104,x,?,True,True,1075,"990, 1100",249,1.17E+14,28.2,Lya,"blended with 1123, 1188 - errors are way too small?"
