Name,Target,z,z_target,b,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,inc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC3198,SDSSJ102152.30+464515.0,0.002202,0.204,299.3,154.97897,45.54962,155.4679167,46.75444444,660,882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,24.5,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
NGC3198,RX_J1017.5+4702,0.002202,0.33544,370.037,154.97897,45.54962,154.3791667,47.04027778,660,882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,55.3,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
NGC3198,SDSSJ102839.10+450009.0,0.002202,0.583,390.152,154.97897,45.54962,157.1629167,45.0025,660,882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,69.5,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
NGC3198,SDSSJ101622.60+470643.0,0.002202,0.82222,401.223,154.97897,45.54962,154.0941667,47.11194444,660,882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,61.1,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
