Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,model_range,NFW_range,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,PA_observed,azimuth,approach_side,PA_adjust,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC5786,QSO1500-4140,Lya,"3100, 3184",1,3138,177,16,5.06E+13,6.95E+12,27.1,2.2,45.2,3.7,,0.01,0.335,453.4142438,224.73442,-42.01336,225.89125,-41.87333333,2998,2974.6,21.5,156,19,172,28,"[106, 160]","[19, 67]",3124,29.8,30.11,13.85,3.6,1.7,182.1,65,2,80,80,0.8,southwest,170,PSBS4..,140.65,0.49,63,101354,3,31.8,(R'_2)SAB(s)bc,0,TF,9.56,-99.99,25,14,-99.99,-99.99
NGC5907,RBS1503,x,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,no-detection,0.002225,0.099,477.586,228.97404,56.32877,232.28125,56.26861111,667,667,3,227.4,6.4,227.4,6.4,"[-228, -9]","[-96, 33]",843,14.9,50.62,8.1,9.9,1.6,260.6,81,0,155,155,63.1,southeast,65,.SAS5*/,755.36,0.11,155,101322,3,7.7,SA(s)c:_sp_HII:,0,TF,11.1,12.1,1.2,1.1,0.49,0.45
ESO343-G014,RBS1768,no,"9284, 9332",1,9308,63,4,1.41E+13,1.09E+12,17.9,3.3,29.8,5.5,"not labeled, def looks like a blended component though",0.030561,0.18299,465.5992813,324.43825,-38.49256,324.7079167,-38.47777778,9162,9138.9,31.7,203,6,205,53,"[-203, 10]","[-122, 31]",8951,126.07,45.23,4.975,4.5,0.5,241.13,90,0,160,158,74,southeast,68,x,-99.99,-99.99,-99,201920,2,92.4,Sb,0,x,15.9,-99.99,1.1,0.5,-99.99,-99.99
ESO343-G014,RBS1768,Lya,"9332, 9426",11,9360,306,3,1.25E+14,3.95E+12,31.8,1.6,53,2.6,"blended with 9308, 9434",0.030561,0.18299,465.5992813,324.43825,-38.49256,324.7079167,-38.47777778,9162,9138.9,31.7,203,6,205,53,"[-203, 10]","[-122, 31]",8951,126.07,45.23,4.975,4.5,0.5,241.13,90,0,160,158,74,southeast,68,x,-99.99,-99.99,-99,201920,2,92.4,Sb,0,x,15.9,-99.99,1.1,0.5,-99.99,-99.99
ESO343-G014,RBS1768,Lya,"9420, 9506",11,9434,161,5,4.72E+13,1.91E+12,25.2,2.6,41.9,4.4,blended with 9360,0.030561,0.18299,465.5992813,324.43825,-38.49256,324.7079167,-38.47777778,9162,9138.9,31.7,203,6,205,53,"[-203, 10]","[-122, 31]",8951,126.07,45.23,4.975,4.5,0.5,241.13,90,0,160,158,74,southeast,68,x,-99.99,-99.99,-99,201920,2,92.4,Sb,0,x,15.9,-99.99,1.1,0.5,-99.99,-99.99
IC5325,RBS2000,Lya,"1555, 1641",4,1598,35,9,6.81E+12,1.92E+12,29,4.8,48.2,7.9,weak,0.005013,0.17359,314.335827,352.18096,-41.33347,351.18625,-40.68027778,1503,1511.9,8.4,-53,5,-125,45,"[-41, -20]","[-29, 1]",1246,18.1,20.45,18.61,3.4,3.1,139.44,25,9,15,15,64.1,northeast,-75,.SXT4..,165.25,0.91,-99,200209,8,13.4,SAB(rs)bc,0,TF,11.9,-99.99,0.9,0.7,-99.99,-99.99
NGC1566,RBS567,Lya,"1542, 1776",1,1664,517,10,2.21E+14,1.14E+13,55.5,2.1,92.4,3.6,,0.005017,0.243,422.6192722,65.00175,-54.93781,69.91125,-53.19194444,1504,1501.9,14.9,-64,13,-86,21,"[-46, -7]","[-22, 10]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,69.3,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC3067,RX_J1002.9+3240,no,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.004923,0.83,359.156,149.58783,32.36989,150.7270833,32.6775,1476,1476,4,148.2,2.7,148.2,2.7,"[115, 147]","[42, 65]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,32.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3198,RX_J1017.5+4702,Lya,"577, 683",1,629,71,20,1.46E+13,4.42E+12,38.9,3.7,64.7,6.2,very weak,0.002202,0.33544,370.037,154.97897,45.54962,154.3791667,47.04027778,660,660,0,152,10,152,10,"[-153, -21]","[-91, 6]",882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,40,55.3,northeast,-50,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
NGC3432,RX_J1054.2+3511,no,"634, 764",5,703,184,39,4.43E+13,1.16E+13,54.7,3.1,91,5.1,"no marked, weak",0.002055,0.203,290.399,163.12971,36.61878,163.5675,35.19,616,616,4,122,5,122,5,"[0, 123]","[-9, 111]",871,11.3,28.98,5.796,11,2.2,177.36,78,0,43,43,57.1,northeast,-47,.SBS9./,405.65,0.22,38,112910,1,8.9,SB(s)m;LINER_HII,0,TF,11.7,-99.99,0.42,0.72,-99.99,-99.99
UGC06446,RX_J1117.6+5301,Lya,"601, 779",1,685,342,25,1.09E+14,1.31E+13,50.6,2.8,84.2,4.6,hard to fit,0.002153,0.15871,416.788,171.66858,53.74668,169.41875,53.03083333,645,645,1,79.4,1,79.4,1,"[35, 47]","[24, 35]",866,15.7,17.61,11.8,1.8,1.7,125.77,48,2,10,10,52.1,northeast,-80,.SA.7..,212.89,0.65,10,-99,-99,-99.99,SAd,0,TF,13.5,15.1,0.15,0.066,0.036,0.015
CGCG039-137,RX_J1121.2+0326,Lya,"6782, 7106",5,6975,678,98,1.96E+14,4.75E+13,113.3,3.5,188.6,5.8,noisy,0.023022,0.152,98.88440936,170.36231,3.44491,170.3083333,3.429722222,6902,6917.8,23.7,132,16,139,26,"[-36, 137]","[-37, 164]",7186,101.21,26.35,12.91,2.6,1.3,166.09,63,2,145,157,70.7,southeast,67,x,-99.99,-99.99,-99,-99,-99,-99.99,Scd,0,x,-99.99,16.1,-99.99,-99.99,0.62,0.31
NGC3633,RX_J1121.2+0326,Lya,"2546, 2666",2,2605,180,75,4.41E+13,2.35E+13,39.4,3.5,65.6,5.8,noisy,0.008673,0.152,183.819801,170.10924,3.58561,170.3083333,3.429722222,2600,2587.2,6.6,-149,6,-157,11,"[-153, -14]","[-77, 10]",2884,41.7,18.36,6.608,0.63,0.23,129.44,72,2,70,70,58.1,northeast,-20,.SA.1*/,72.14,0.33,72,111966,1,29.8,SAa:_sp_HII,0,TF,13.8,14.5,0.9,0.14,0.46,0.11
NGC3726,RX_J1142.7+4625,Lya,"740, 884",2,818,375,33,1.34E+14,2.61E+13,47.9,2.1,79.7,3.5,,0.002887,0.115,440.252,173.33801,47.02921,175.6716667,46.41,866,866,1,167.2,1.3,167.2,1.3,"[-34, -14]","[-30, -7]",1109,14.7,31.4,19.15,6.5,4,187.45,52,3,25,25,86,northeast,-65,.SXR5..,369.96,0.69,10,100008,65,10.5,SAB(r)c_HII,0,TF,10.9,15.9,1.5,1.4,0.015,0.014
NGC4565,RX_J1236.0+2641,Lya,"926, 1094",1,1009,365,29,1.07E+14,1.31E+13,54,2.1,89.9,3.4,hard to fit,0.004103,0.20915,147.146,189.08658,25.98767,189.0166667,26.69333333,1230,1230,5,253,10,253,10,"[-2, 246]","[-30, 144]",1522,11.9,37.57,12.02,13,4.1,212.15,71,1,134,134,40.9,southeast,44,.SAS3$/,950.94,0.13,136,120065,3,14.2,SA(s)b?_sp_Sy3_Sy1.9,0,TF,10.1,-99.99,2,3.1,-99.99,-99.99
NGC4565,RX_J1236.0+2641,Lya,"1094, 1222",4,1166,305,22,1.01E+14,1.36E+13,38.8,2.9,64.7,4.9,hard to fit,0.004103,0.20915,147.146,189.08658,25.98767,189.0166667,26.69333333,1230,1230,5,253,10,253,10,"[-2, 246]","[-30, 144]",1522,11.9,37.57,12.02,13,4.1,212.15,71,1,134,134,40.9,southeast,44,.SAS3$/,950.94,0.13,136,120065,3,14.2,SA(s)b?_sp_Sy3_Sy1.9,0,TF,10.1,-99.99,2,3.1,-99.99,-99.99
UGC06399,SBS1116+523,Lya,"650, 788",2,731,259,18,7.21E+13,6.84E+12,41.6,2.2,69.3,3.7,blended?,0.00264,0.35568,470.757,170.84676,50.89271,169.9495833,52.09805556,791,791,1,88.2,1,88.2,1,"[-91, -54]","[-80, -42]",1020,20.3,18.67,5.973,2.5,2.1,130.95,71,4,142,142,13.4,northwest,-128,.S..9*.,165.25,0.28,142,-99,-99,-99.99,Sm:,0,TF,13.7,14.4,0.21,0.12,0.11,0.064
NGC5907,SBS1503+570,Lya,"632, 756",1,708,301,25,9.79E+13,1.45E+13,42.5,1.9,70.7,3.2,hard to fit,0.002225,0.35894,413.338,228.97404,56.32877,226.2316667,56.82222222,667,667,3,227.4,6.4,227.4,6.4,"[31, 228]","[-24, 101]",843,14.9,50.62,8.1,9.9,1.6,260.6,81,0,155,155,46.8,southeast,65,.SAS5*/,755.36,0.11,155,101322,3,7.7,SA(s)c:_sp_HII:,0,TF,11.1,12.1,1.2,1.1,0.49,0.45
NGC2770,SDSSJ091052.80+333008.0,Lya,"1726, 1872",3,1824,266,26,8.30E+13,1.21E+13,39.2,3.7,65.3,6.1,,0.006494,0.354,217.945,137.39045,33.12353,137.6541667,33.49,1947,1947,2,148,6,150,10,"[6, 145]","[-4, 127]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,66,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,SDSSJ091052.80+333008.0,Lya,"1943, 2015",2,1975,68,21,1.51E+13,4.96E+12,24.4,3.3,40.6,5.5,"weak, messy and hard to fit",0.006494,0.11631,238.639,137.39045,33.12353,137.72,33.50222222,1947,1947,2,148,6,150,10,"[6, 145]","[-4, 127]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,66,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,SDSSJ091127.30+325337.0,Lya,"2012, 2138",1,2063,271,24,8.47E+13,1.30E+13,39.1,2.7,65.2,4.4,"hard to fit, lots of lines",0.006494,0.29038,233.769,137.39045,33.12353,137.86375,32.89361111,1947,1947,2,148,6,150,10,"[-150, -43]","[-132, -25]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,29.9,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC3067,SDSSJ095914.80+320357.0,Lya,"1366, 1596",1,1493,623,23,2.90E+14,3.56E+13,68,2.2,113.3,3.6,saturated,0.004923,0.56462,127.54,149.58783,32.36989,149.8116667,32.06583333,1476,1476,4,148.2,2.7,148.2,2.7,"[11, 138]","[-12, 81]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,43,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3198,SDSSJ101622.60+470643.0,no,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,not ID'd,0.002202,0.82222,401.223,154.97897,45.54962,154.0941667,47.11194444,660,660,0,152,10,152,10,"[-154, -17]","[-89, 8]",882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,40,61.1,northeast,-50,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
NGC3351,SDSSJ104335.90+115129.0,Lya,"588, 830",1,717,823,26,3.91E+14,4.53E+13,92.1,4.1,153.4,6.8,"SALT target, blended with Lya@882, hard to fit",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,"[-99, 12]","[-68, 20]",1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
NGC3351,SDSSJ104335.90+115129.0,Lya,"800, 970",1,882,621,14,3.13E+14,3.63E+13,67,2.9,111.6,4.8,"SALT target, blended with Lya@717",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,"[-99, 12]","[-68, 20]",1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
NGC3351,SDSSJ104335.90+115129.0,Lya,"960, 1102",1,1030,391,15,1.36E+14,1.12E+13,48.1,4.1,80.2,6.8,"SALT target, blended with Lya@882",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,"[-99, 12]","[-68, 20]",1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
NGC3633,SDSSJ112005.00+041323.0,Lya,"2276, 2300",2,2285,27,10,6.28E+12,2.50E+12,8.4,2.5,14,4.2,"very narrow, weak",0.008673,0.54689,468.3543547,170.10924,3.58561,170.0208333,4.223055556,2600,2587.2,6.6,-149,6,-157,11,"[-59, -55]","[-36, -28]",2884,41.7,18.36,6.608,0.63,0.23,129.44,72,2,70,70,77.9,northeast,-20,.SA.1*/,72.14,0.33,72,111966,1,29.8,SAa:_sp_HII,0,TF,13.8,14.5,0.9,0.14,0.46,0.11
NGC3633,SDSSJ112005.00+041323.0,Lya,"2528, 2612",5,2578,116,17,2.69E+01,4.67E+12,30.8,3.4,51.2,5.6,,0.008673,0.54689,468.3543547,170.10924,3.58561,170.0208333,4.223055556,2600,2587.2,6.6,-149,6,-157,11,"[-59, -55]","[-36, -28]",2884,41.7,18.36,6.608,0.63,0.23,129.44,72,2,70,70,77.9,northeast,-20,.SA.1*/,72.14,0.33,72,111966,1,29.8,SAa:_sp_HII,0,TF,13.8,14.5,0.9,0.14,0.46,0.11
CGCG039-137,SDSSJ112224.10+031802.0,no,"6556, 6656",1,6606,70,16,1.44E+13,3.56E+12,32.9,3.2,54.7,5.4,"not identified, looks like it's there to me",0.023022,0.47528,491.2399759,170.36231,3.44491,170.6004167,3.300555556,6902,6917.8,23.7,-132,16,-139,26,"[-129, -115]","[-115, -99]",7186,101.21,26.35,12.91,2.6,1.3,166.09,63,2,145,157,23.7,southeast,67,x,-99.99,-99.99,-99,-99,-99,-99.99,Scd,0,x,-99.99,16.1,-99.99,-99.99,0.62,0.31
NGC3633,SDSSJ112224.10+031802.0,x,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,no-detection,0.008673,0.47528,412.7607274,170.10924,3.58561,170.6004167,3.300555556,2600,2587.2,6.6,-149,6,-157,11,"[-158, -51]","[-64, 0]",2884,41.7,18.36,6.608,0.63,0.23,129.44,72,2,70,70,50.2,northeast,-20,.SA.1*/,72.14,0.33,72,111966,1,29.8,SAa:_sp_HII,0,TF,13.8,14.5,0.9,0.14,0.46,0.11
NGC3666,SDSSJ112439.50+113117.0,Lya,"946, 1074",6,1047,345,33,1.43E+14,3.69E+13,40.4,5.7,67.3,9.5,blended,0.003536,0.143,58.176,171.10862,11.34222,171.1641667,11.52138889,1060,1060,1,131.8,10,131.8,10,"[-87, 20]","[-136, 20]",1349,17.8,14.11,4.233,2.7,0.81,107.94,73,1,100,100,83.1,southeast,10,.SAT5*.,261.91,0.28,100,111649,2,14,SA(rs)c:,0,TF,12.3,13.3,0.61,0.54,0.24,0.21
NGC3666,SDSSJ112439.50+113117.0,Lya,"1074, 1180",1,1099,272,27,1.10E+14,3.19E+13,34.8,3.2,58,5.4,blended,0.003536,0.143,58.176,171.10862,11.34222,171.1641667,11.52138889,1060,1060,1,131.8,10,131.8,10,"[-87, 20]","[-136, 20]",1349,17.8,14.11,4.233,2.7,0.81,107.94,73,1,100,100,83.1,southeast,10,.SAT5*.,261.91,0.28,100,111649,2,14,SA(rs)c:,0,TF,12.3,13.3,0.61,0.54,0.24,0.21
UGC06446,SDSSJ112448.30+531818.0,Lya,"558, 748",1,664,339,32,1.01E+14,1.41E+13,52.1,3.8,86.8,6.2,hard to fit,0.002153,0.53151,142.916,171.66858,53.74668,171.20125,53.30527778,645,645,1,79.4,1,79.4,1,"[-9, 65]","[-15, 61]",866,15.7,17.61,11.8,1.8,1.7,125.77,48,2,10,10,22.3,northeast,-80,.SA.7..,212.89,0.65,10,-99,-99,-99.99,SAd,0,TF,13.5,15.1,0.15,0.066,0.036,0.015
UGC06446,SDSSJ112448.30+531818.0,Lya,"984, 1060",1,1019,71,20,1.51E+13,4.73E+12,27.5,3.4,45.8,5.7,hard to fit,0.002153,0.53151,142.916,171.66858,53.74668,171.20125,53.30527778,645,645,1,79.4,1,79.4,1,"[-9, 65]","[-15, 61]",866,15.7,17.61,11.8,1.8,1.7,125.77,48,2,10,10,22.3,northeast,-80,.SA.7..,212.89,0.65,10,-99,-99,-99.99,SAd,0,TF,13.5,15.1,0.15,0.066,0.036,0.015
NGC3666,SDSSJ112632.90+120437.0,no,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.003536,0.977,279.208,171.10862,11.34222,171.6370833,12.07694444,1060,1060,1,131.8,10,131.8,10,"[-59, -29]","[-45, -18]",1349,17.8,14.11,4.233,2.7,0.81,107.94,73,1,100,100,64.9,southeast,10,.SAT5*.,261.91,0.28,100,111649,2,14,SA(rs)c:,0,TF,12.3,13.3,0.61,0.54,0.24,0.21
NGC3666,SDSSJ112756.70+115427.0,no,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.003536,0.509,319.766,171.10862,11.34222,171.9866667,11.9075,1060,1060,1,131.8,10,131.8,10,"[-127, -80]","[-100, -57]",1349,17.8,14.11,4.233,2.7,0.81,107.94,73,1,100,100,43.3,southeast,10,.SAT5*.,261.91,0.28,100,111649,2,14,SA(rs)c:,0,TF,12.3,13.3,0.61,0.54,0.24,0.21
NGC5364,SDSSJ135726.27+043541.4,Lya,"1088, 1160",1,1124,83,11,1.87E+13,2.95E+12,24.2,2.5,40.2,4.2,blended,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1238,16.9,130,13,55,27,"[-26, 108]","[-30, 68]",1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,48,84.3,northeast,-42,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
UGC09760,SDSSJ151237.15+012846.0,Lya,"1954, 2120",1,2029,506,36,1.91E+14,3.72E+13,58.7,1.8,97.8,3,noisy,0.006748,0.26625,122.680136,228.01018,1.69874,228.155,1.479444444,2023,2093.7,15.5,-46,12,-46,16,"[-30, 30]","[-30, 86]",2245,26.75,21.21,1.909,4.2,2.9,142.99,90,6,57,57,89.6,southwest,147,.S..7./,147.28,0.09,57,-99,-99,-99.99,Sd,0,TF,14.6,21.8,0.17,0.15,0.00023,0.0002
NGC5907,SDSSJ152053.59+571122.1,no,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"possible line, not ID'd and low SN",0.002225,0.02952,286.146,228.97404,56.32877,230.22375,57.18972222,667,667,3,227.4,6.4,227.4,6.4,"[-18, 228]","[-42, 114]",843,14.9,50.62,8.1,9.9,1.6,260.6,81,0,155,155,63.2,southeast,65,.SAS5*/,755.36,0.11,155,101322,3,7.7,SA(s)c:_sp_HII:,0,TF,11.1,12.1,1.2,1.1,0.49,0.45
NGC2770,TON1009,Lya,"1846, 1936",1,1908,111,14,2.55E+13,3.86E+12,33.3,3.6,55.5,6,blended with Lya@1980,0.006494,0.81028,267.115,137.39045,33.12353,137.2758333,32.60833333,1947,1947,2,148,6,150,10,"[-146, -39]","[-125, -20]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,40.6,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,TON1009,Lya,"1936, 2032",1,1980,243,12,7.96E+13,6.83E+12,31,3,51.6,5,"blended with Lya@1908, saturated",0.006494,0.81028,267.115,137.39045,33.12353,137.2758333,32.60833333,1947,1947,2,148,6,150,10,"[-146, -39]","[-125, -20]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,40.6,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,TON1015,Lya,"1764, 1896",2,1833,244,15,7.07E+13,5.97E+12,36.9,2.6,61.5,4.3,blended with Lya@1985,0.006494,0.354,217.945,137.39045,33.12353,137.6541667,33.49,1947,1947,2,148,6,150,10,"[3, 146]","[-7, 130]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,61,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,TON1015,Lya,"1944, 2026",1,1985,80,13,1.72E+13,3.18E+12,28.9,2.5,48.1,4.2,blended with Lya@1833,0.006494,0.354,217.945,137.39045,33.12353,137.6541667,33.49,1947,1947,2,148,6,150,10,"[3, 146]","[-7, 130]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,61,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
