Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,model_range,NFW_range,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,PA_observed,azimuth,approach_side,PA_adjust,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC4536,3C273.0,Lya,"1482, 1700",1,1580,369,2,1.43E+14,1.05E+12,42,2.2,70,3.6,in pilot paper,0.006031,0.15834,348.6695236,188.61271,2.18814,187.2779167,2.0525,1808,1866.9,32.9,129,32,139,37,"[87, 121]","[5, 41]",2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,10.8,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,3C273.0,Lya,"2089, 2243",5,2156,42,3,7.95E+12,5.39E+11,57.9,3.8,96.4,6.3,in pilot paper,0.006031,0.15834,348.6695236,188.61271,2.18814,187.2779167,2.0525,1808,1866.9,32.9,129,32,139,37,"[87, 121]","[5, 41]",2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,10.8,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,3C273.0,Lya,"2244, 2344",5,2267,27,2,5.07E+12,4.12E+11,36.1,2.2,60.1,3.7,in pilot paper,0.006031,0.15834,348.6695236,188.61271,2.18814,187.2779167,2.0525,1808,1866.9,32.9,129,32,139,37,"[87, 121]","[5, 41]",2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,10.8,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC3726,CSO1208,Lya,"670, 806",1,731,470,53,1.59E+14,4.85E+13,54.2,3.5,90.3,5.8,"blended with Lya@874, hard to fit",0.002887,0.115,368.942,173.33801,47.02921,175.1995833,46.36805556,866,866,1,167.2,1.3,167.2,1.3,"[-27, 29]","[-28, 21]",1109,14.7,31.4,19.15,6.5,4,187.45,52,3,25,25,87.8,northeast,-65,.SXR5..,369.96,0.69,10,100008,65,10.5,SAB(r)c_HII,0,TF,10.9,15.9,1.5,1.4,0.015,0.014
NGC3726,CSO1208,Lya,"806, 970",6,874,506,51,1.76E+14,4.74E+13,58.7,3.9,97.7,6.6,"blended with Lya@731, hard to fit",0.002887,0.115,368.942,173.33801,47.02921,175.1995833,46.36805556,866,866,1,167.2,1.3,167.2,1.3,"[-27, 29]","[-28, 21]",1109,14.7,31.4,19.15,6.5,4,187.45,52,3,25,25,87.8,northeast,-65,.SXR5..,369.96,0.69,10,100008,65,10.5,SAB(r)c_HII,0,TF,10.9,15.9,1.5,1.4,0.015,0.014
NGC3432,CSO295,Lya,"490, 654",1,600,568,25,2.62E+14,4.25E+13,64.1,3.7,106.8,6.1,blended with Lya@662,0.002055,0.609,20.463,163.12971,36.61878,163.0233333,36.67777778,616,616,4,122,5,122,5,"[-37, 48]","[-37, 134]",871,11.3,28.98,5.796,11,2.2,177.36,78,0,43,43,81.7,northeast,-47,.SBS9./,405.65,0.22,38,112910,1,8.9,SB(s)m;LINER_HII,0,TF,11.7,-99.99,0.42,0.72,-99.99,-99.99
NGC3432,CSO295,Lya,"654, 892",7,662,585,30,2.62E+14,4.33E+13,77.5,3.9,129,6.5,blended with Lya@600,0.002055,0.609,20.463,163.12971,36.61878,163.0233333,36.67777778,616,616,4,122,5,122,5,"[-37, 48]","[-37, 134]",871,11.3,28.98,5.796,11,2.2,177.36,78,0,43,43,81.7,northeast,-47,.SBS9./,405.65,0.22,38,112910,1,8.9,SB(s)m;LINER_HII,0,TF,11.7,-99.99,0.42,0.72,-99.99,-99.99
NGC2770,FBQSJ0908+3246,Lya,"1868, 1950",1,1915,202,17,6.65E+13,1.01E+13,27.1,3.2,45.1,5.3,blended with Lya@1982,0.006494,0.25989,204.033,137.39045,33.12353,137.1616667,32.77222222,1947,1947,2,148,6,150,10,"[-146, -4]","[-132, 6]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,58.7,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,FBQSJ0908+3246,Lya,"1950, 2078",6,1982,230,23,6.29E+13,8.55E+12,42.1,3.2,70.1,5.3,blended with Lya@1982,0.006494,0.25989,204.033,137.39045,33.12353,137.1616667,32.77222222,1947,1947,2,148,6,150,10,"[-146, -4]","[-132, 6]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,58.7,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC3513,H1101-232,Lya,"1038, 1286",1,1182,635,21,2.79E+14,3.17E+13,69.5,2.6,115.8,4.2,r:Lya at 1203,0.003983,0.186,60.29115893,165.942,-23.2455,165.9070833,-23.49194444,1194,1203.7,12,11,9,20,22,"[-19, 27]","[-19, 28]",1419,13.9,22.07,19.2,6,5.2,146.97,30,7,120,120,67.4,northwest,-150,.SBT5..,169.1,0.79,75,102618,2,15.2,SB(s)c_HII,0,TF,12.1,-99.99,0.49,0.62,-99.99,-99.99
NGC1566,HE0429-5343,Lya,"1124, 1200",4,1167,79,14,1.71E+13,3.36E+12,25.8,2.5,42.9,4.1,noisy,0.005017,0.04001,256.2063291,65.00175,-54.93781,67.66666667,-53.61555556,1504,1501.9,14.9,-64,13,-86,21,"[-53, -2]","[-22, 17]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,60.1,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0429-5343,Lya,"1260, 1430",1,1358,136,21,2.88E+13,4.84E+12,57.8,3.7,96.2,6.2,noisy,0.005017,0.04001,256.2063291,65.00175,-54.93781,67.66666667,-53.61555556,1504,1501.9,14.9,-64,13,-86,21,"[-53, -2]","[-22, 17]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,60.1,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0435-5304,Lya,"1450, 1570",1,1512,220,12,5.91E+13,4.40E+12,37.9,3,63.1,5,blended with 1633,0.005017,0.42616,396.1356017,65.00175,-54.93781,69.21208333,-52.97972222,1504,1501.9,14.9,-64,13,-86,21,"[-44, -43]","[-16, -15]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,62.3,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0435-5304,Lya,"1570, 1666",7,1633,217,10,6.07E+13,4.23E+12,35.8,1.7,59.5,2.8,"blended with 1512, 1690",0.005017,0.42616,396.1356017,65.00175,-54.93781,69.21208333,-52.97972222,1504,1501.9,14.9,-64,13,-86,21,"[-44, -43]","[-16, -15]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,62.3,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0435-5304,Lya,"1666, 1770",1,1690,204,11,5.60E+13,4.05E+12,35.7,2.1,59.5,3.6,blended with 1633,0.005017,0.42616,396.1356017,65.00175,-54.93781,69.21208333,-52.97972222,1504,1501.9,14.9,-64,13,-86,21,"[-44, -43]","[-16, -15]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,62.3,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
