System #  & Galaxy  &        Target  &                  $\rho$  & Az.  & $V_{sys}$  & $V_{rot}$  & $V_{Ly\alpha}$  & $W_{Ly\alpha}$  & Cyl. Model  &  NFW Model  \\
25  &       NGC3726  &       CSO1208  &                 369  &    88  &  866  &       162  &       731  &            470  &            839 - 895  &   837 - 888  \\
25  &       NGC3726  &       CSO1208  &                 369  &    88  &  866  &       162  &       874  &            506  &            839 - 895  &   837 - 888  \\
26  &       NGC3726  &       RX_J1142.7+4625  &         440  &    86  &  866  &       162  &       818  &            375  &            832 - 854  &   836 - 861  \\
27  &       NGC4529  &       MRK771  &                  159  &    23  &  2536  &      106  &       2553  &           240  &            2416 - 2503  & 2432 - 2517  \\
28  &       NGC4536  &       3C273.0  &                 349  &    11  &  1867  &      148  &       1580  &           369  &            1930 - 2022  & 1841 - 1926  \\
28  &       NGC4536  &       3C273.0  &                 349  &    11  &  1867  &      148  &       2156  &           42  &             1930 - 2022  & 1841 - 1926  \\
28  &       NGC4536  &       3C273.0  &                 349  &    11  &  1867  &      148  &       2267  &           27  &             1930 - 2022  & 1841 - 1926  \\
29  &       NGC4536  &       HE1228+0131  &             338  &    51  &  1867  &      148  &       1495  &           160  &            1881 - 1935  & 1856 - 1900  \\
29  &       NGC4536  &       HE1228+0131  &             338  &    51  &  1867  &      148  &       1571  &           23  &             1881 - 1935  & 1856 - 1900  \\
29  &       NGC4536  &       HE1228+0131  &             338  &    51  &  1867  &      148  &       1686  &           321  &            1881 - 1935  & 1856 - 1900  \\
29  &       NGC4536  &       HE1228+0131  &             338  &    51  &  1867  &      148  &       1721  &           303  &            1881 - 1935  & 1856 - 1900  \\
29  &       NGC4536  &       HE1228+0131  &             338  &    51  &  1867  &      148  &       1854  &           78  &             1881 - 1935  & 1856 - 1900  \\
30  &       NGC4565  &       RX_J1236.0+2641  &         147  &    41  &  1230  &      253  &       1009  &           365  &            1228 - 1495  & 1199 - 1390  \\
30  &       NGC4565  &       RX_J1236.0+2641  &         147  &    41  &  1230  &      253  &       1166  &           305  &            1228 - 1495  & 1199 - 1390  \\
30  &       NGC4565  &       RX_J1236.0+2641  &         147  &    41  &  1230  &      253  &       1254  &           122  &            1228 - 1495  & 1199 - 1390  \\
31  &       NGC4939  &       PG1302-102  &              254  &    61  &  3093  &      -234  &      3448  &           72  &             2845 - 3109  & 2942 - 3131  \\
32  &       NGC5364  &       SDSSJ135726.27+043541.4  & 165  &    84  &  1238  &      155  &       967  &            348  &            1211 - 1370  & 1207 - 1324  \\
