Name,Target,number,identified,include,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,resolution,fit_v,e_fit_v,fit_b,e_fit_b,fit_N,e_fit_N,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,model_range,NFW_range,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,PA_observed,azimuth,approach_side,PA_adjust,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC2770,SDSSJ091052.80+333008.0,10,Lya,yes,"1943, 2015",2,1975,68,21,1.51E+13,4.96E+12,24.4,3.3,40.6,5.5,16.9,1970,5,25.3,8.2,13.208,0.12,"weak, messy and hard to fit",0.006494,0.11631,238.639,137.39045,33.12353,137.72,33.50222222,1947,1948,2,148,6,150,10,"[6, 145]","[-7, 112]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,66,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,SDSSJ091127.30+325337.0,11,Lya,yes,"2012, 2138",1,2063,271,24,8.47E+13,1.30E+13,39.1,2.7,65.2,4.4,16.9,2062,10,28,10,14.003,0.195,"hard to fit, lots of lines (Voigt very uncertain)",0.006494,0.29038,233.769,137.39045,33.12353,137.86375,32.89361111,1947,1948,2,148,6,150,10,"[-150, -43]","[-117, -19]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,29.9,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC3067,3C232,12,Lya,yes,"920, 1492",1,1408,2092,42,1.13E+15,1.42E+14,212.8,6.2,354.4,10.3,30,1408,10,245.2,25.9,15.497,0.162,"hard to fit, blended, very uncertain (Voigt same)",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1465,5,148.2,2.7,148.2,2.7,"[-121, 25]","[-139, 26]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3067,3C232,12,Lya,yes,"1440, 1600",1,1510,700,15,4.55E+14,1.02E+14,70.3,3.7,117.1,6.2,30,1510,10,57.1,23.6,18.568,0.746,"hard to fit, blended, very uncertain (Voigt same)",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1465,5,148.2,2.7,148.2,2.7,"[-121, 25]","[-139, 26]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3067,3C232,12,Lya,yes,"1530, 2154",1,1641,1635,47,8.22E+14,1.24E+14,191.9,5.3,319.5,8.8,30,1641,10,248.5,76.3,14.326,0.219,"hard to fit, blended, very uncertain (Voigt same)",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1465,5,148.2,2.7,148.2,2.7,"[-121, 25]","[-139, 26]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3067,SDSSJ095914.80+320357.0,13,Lya,yes,"1366, 1596",1,1493,623,23,2.90E+14,3.56E+13,68,2.2,113.3,3.6,16.9,1492,2,53.7,4.3,14.614,0.08,saturated,0.004923,0.56462,127.54,149.58783,32.36989,149.8116667,32.06583333,1476,1465,5,148.2,2.7,148.2,2.7,"[11, 138]","[-12, 81]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,43,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3198,RX_J1017.5+4702,14,Lya,yes,"577, 683",1,629,71,20,1.46E+13,4.42E+12,38.9,3.7,64.7,6.2,16.9,616,13,52.4,18.4,13.225,0.14,very weak,0.002202,0.33544,370.037,154.97897,45.54962,154.3791667,47.04027778,660,660,0,152,10,152,10,"[-153, -21]","[-91, 6]",882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,40,55.3,northeast,-50,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
NGC3351,SDSSJ104335.90+115129.0,15,Lya,yes,"588, 830",1,717,823,26,3.91E+14,4.53E+13,92.1,4.1,153.4,6.8,16.9,717,10,91.5,8.8,14.601,0.047,"SALT target, blended with Lya@882, hard to fit",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,"[-99, 12]","[-68, 20]",1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
NGC3351,SDSSJ104335.90+115129.0,15,Lya,yes,"800, 970",1,882,621,14,3.13E+14,3.63E+13,67,2.9,111.6,4.8,16.9,875,7,82.3,7.3,14.563,0.047,"SALT target, blended with Lya@717, hard to fit",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,"[-99, 12]","[-68, 20]",1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
NGC3351,SDSSJ104335.90+115129.0,15,Lya,yes,"960, 1102",1,1030,391,15,1.36E+14,1.12E+13,48.1,4.1,80.2,6.8,16.9,1037,10,41.3,2.6,14.1,0.031,"SALT target, blended with Lya@882, hard to fit",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,"[-99, 12]","[-68, 20]",1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
NGC3432,CSO295,16,Lya,yes,"490, 654",1,600,568,25,2.62E+14,4.25E+13,64.1,3.7,106.8,6.1,16.9,600,10,54,13.1,14.652,0.322,blended with Lya@662,0.002055,0.609,20.463,163.12971,36.61878,163.0233333,36.67777778,616,616,4,122,5,122,5,"[-37, 48]","[-37, 134]",871,11.3,28.98,5.796,11,2.2,177.36,78,0,43,43,81.7,northeast,-47,.SBS9./,405.65,0.22,38,112910,1,8.9,SB(s)m;LINER_HII,0,TF,11.7,-99.99,0.42,0.72,-99.99,-99.99
NGC3432,CSO295,16,Lya,yes,"654, 892",7,662,585,30,2.62E+14,4.33E+13,77.5,3.9,129,6.5,16.9,662,10,75.8,7.8,14.769,0.109,blended with Lya@600,0.002055,0.609,20.463,163.12971,36.61878,163.0233333,36.67777778,616,616,4,122,5,122,5,"[-37, 48]","[-37, 134]",871,11.3,28.98,5.796,11,2.2,177.36,78,0,43,43,81.7,northeast,-47,.SBS9./,405.65,0.22,38,112910,1,8.9,SB(s)m;LINER_HII,0,TF,11.7,-99.99,0.42,0.72,-99.99,-99.99
NGC3432,RX_J1054.2+3511,17,no,yes,"634, 764",5,703,184,39,4.43E+13,1.16E+13,54.7,3.1,91,5.1,16.9,700,12,61.4,19.8,13.544,0.149,"no marked, weak",0.002055,0.203,290.399,163.12971,36.61878,163.5675,35.19,616,616,4,122,5,122,5,"[0, 123]","[-9, 111]",871,11.3,28.98,5.796,11,2.2,177.36,78,0,43,43,57.1,northeast,-47,.SBS9./,405.65,0.22,38,112910,1,8.9,SB(s)m;LINER_HII,0,TF,11.7,-99.99,0.42,0.72,-99.99,-99.99
NGC3513,H1101-232,18,Lya,maybe,"1038, 1286",1,1182,635,21,2.79E+14,3.17E+13,69.5,2.6,115.8,4.2,16.9,1174,2,62,2.9,14.47,0.033,r:Lya at 1203,0.003983,0.186,60.29115893,165.942,-23.2455,165.9070833,-23.49194444,1194,1204,12,11,9,20,22,"[-19, 27]","[-19, 28]",1419,13.9,22.07,19.2,6,5.2,146.97,30,7,120,120,67.4,northwest,-150,.SBT5..,169.1,0.79,75,102618,2,15.2,SB(s)c_HII,0,TF,12.1,-99.99,0.49,0.62,-99.99,-99.99
NGC3631,RX_J1117.6+5301,19,Lya,yes,"1050, 1216",2,1131,374,19,1.29E+14,1.26E+13,46,2.4,76.6,4,16.9,1129,2,45.7,2.6,14.127,0.027,"hard to fit, blended with Lya@1259",0.003856,0.15871,78.43,170.26198,53.16957,169.41875,53.03083333,1156,1156,1,145,8,145,8,"[10, 24]","[1, 21]",1378,8.56,15.79,15.16,12,11,116.65,16,10,28,150,75.3,southeast,60,.SAS5..,300.71,0.95,-99,100008,65,10.5,SA(s)c,0,TF,11,13.3,0.45,1.5,0.055,0.19
NGC3631,RX_J1117.6+5301,19,Lya,yes,"1238, 1298",5,1259,62,14,1.38E+13,3.42E+12,21.4,3.3,35.7,5.4,16.9,1260,5,35.5,8.37,13.288,0.103,"hard to fit, blended with Lya@1131",0.003856,0.15871,78.43,170.26198,53.16957,169.41875,53.03083333,1156,1156,1,145,8,145,8,"[10, 24]","[1, 21]",1378,8.56,15.79,15.16,12,11,116.65,16,10,28,150,75.3,southeast,60,.SAS5..,300.71,0.95,-99,100008,65,10.5,SA(s)c,0,TF,11,13.3,0.45,1.5,0.055,0.19
NGC3631,SBS1116+523,20,-99,yes,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,16.9,-99,-99,-99,-99,-99,-99,no-detection,0.003856,0.35568,162.59,170.26198,53.16957,169.9495833,52.09805556,1156,1156,1,145,8,145,8,"[-56, -5]","[-31, 11]",1378,8.56,15.79,15.16,12,11,116.65,16,10,28,150,40.2,southeast,60,.SAS5..,300.71,0.95,-99,100008,65,10.5,SA(s)c,0,TF,11,13.3,0.45,1.5,0.055,0.19
NGC3631,SDSSJ111443.70+525834.0,21,Lya,yes,"1060, 1248",3,1163,232,39,5.51E+13,1.08E+13,64.1,4,106.7,6.7,16.9,1158,9,55.8,13.3,13.61,0.104,hard to fit,0.003856,0.07921,144.737,170.26198,53.16957,168.6820833,52.97611111,1156,1156,1,145,8,145,8,"[8, 29]","[-5, 24]",1378,8.56,15.79,15.16,12,11,116.65,16,10,28,150,71.5,southeast,60,.SAS5..,300.71,0.95,-99,100008,65,10.5,SA(s)c,0,TF,11,13.3,0.45,1.5,0.055,0.19
NGC3631,SDSSJ112448.30+531818.0,22,Lya,yes,"984, 1060",1,1019,71,20,1.51E+13,4.73E+12,27.5,3.4,45.8,5.7,16.9,1015,5,21.4,8.9,13.101,0.148,hard to fit,0.003856,0.53151,86.401,170.26198,53.16957,171.20125,53.30527778,1156,1156,1,145,8,145,8,"[-26, -11]","[-22, 1]",1378,8.56,15.79,15.16,12,11,116.65,16,10,28,150,73.6,southeast,60,.SAS5..,300.71,0.95,-99,100008,65,10.5,SA(s)c,0,TF,11,13.3,0.45,1.5,0.055,0.19
NGC3631,SDSSJ112448.30+531818.0,22,Lya,yes,"1076, 1208",1,1141,165,25,4.18E+13,7.31E+12,38.2,4.4,63.6,7.3,16.9,1133,2,19.5,3.9,13.51,0.074,hard to fit,0.003856,0.53151,86.401,170.26198,53.16957,171.20125,53.30527778,1156,1156,1,145,8,145,8,"[-26, -11]","[-22, 1]",1378,8.56,15.79,15.16,12,11,116.65,16,10,28,150,73.6,southeast,60,.SAS5..,300.71,0.95,-99,100008,65,10.5,SA(s)c,0,TF,11,13.3,0.45,1.5,0.055,0.19
NGC3633,RX_J1121.2+0326,23,Lya,yes,"2546, 2666",2,2605,180,75,4.41E+13,2.35E+13,39.4,3.5,65.6,5.8,16.9,2604,10,45,16.7,13.711,0.168,noisy,0.008673,0.152,183.819801,170.10924,3.58561,170.3083333,3.429722222,2600,2587,7,-149,6,-157,11,"[-153, -14]","[-77, 10]",2884,41.7,18.36,6.608,0.63,0.23,129.44,72,2,70,70,58.1,northeast,-20,.SA.1*/,72.14,0.33,72,111966,1,29.8,SAa:_sp_HII,0,TF,13.8,14.5,0.9,0.14,0.46,0.11
NGC3666,SDSSJ112439.50+113117.0,24,Lya,yes,"946, 1074",6,1047,345,33,1.43E+14,3.69E+13,40.4,5.7,67.3,9.5,16.9,1047,10,43.5,7.3,14.545,0.197,blended,0.003536,0.143,58.176,171.10862,11.34222,171.1641667,11.52138889,1060,1060,1,131.8,10,131.8,10,"[-87, 20]","[-136, 20]",1349,17.8,14.11,4.233,2.7,0.81,107.94,73,1,100,100,83.1,southeast,10,.SAT5*.,261.91,0.28,100,111649,2,14,SA(rs)c:,0,TF,12.3,13.3,0.61,0.54,0.24,0.21
NGC3666,SDSSJ112439.50+113117.0,24,Lya,yes,"1074, 1180",1,1099,272,27,1.10E+14,3.19E+13,34.8,3.2,58,5.4,16.9,1099,10,44.1,7.2,14.005,0.095,blended,0.003536,0.143,58.176,171.10862,11.34222,171.1641667,11.52138889,1060,1060,1,131.8,10,131.8,10,"[-87, 20]","[-136, 20]",1349,17.8,14.11,4.233,2.7,0.81,107.94,73,1,100,100,83.1,southeast,10,.SAT5*.,261.91,0.28,100,111649,2,14,SA(rs)c:,0,TF,12.3,13.3,0.61,0.54,0.24,0.21
NGC3726,CSO1208,25,Lya,maybe,"670, 806",1,731,470,53,1.59E+14,4.85E+13,54.2,3.5,90.3,5.8,16.9,731,10,52.18,8.55,14.417,0.124,"blended with Lya@874, hard to fit (voigt fit no good either)",0.002887,0.115,368.942,173.33801,47.02921,175.1995833,46.36805556,866,866,1,167.2,1.3,167.2,1.3,"[-27, 29]","[-28, 21]",1109,14.7,31.4,19.15,6.5,4,187.45,52,3,25,25,87.8,northeast,-65,.SXR5..,369.96,0.69,10,100008,65,10.5,SAB(r)c_HII,0,TF,10.9,15.9,1.5,1.4,0.015,0.014
