targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
RBS1768,9360,PGC067067,1,"('324.7079166666667', '-38.477777777777774')","('324.43825', '-38.49256')",0.008986431,0.035878195,241.0158033,303.8838726,465.599834,x,8951,9162,-198,126.07,x,45.2,5,84,160,74,-99.99,x,-99.99,-99,Sb,Sb,0.030561,0.18299,x,1,FALSE,TRUE,9360,"9332, 9426",306,1.25E+14,31.8,Lya,"blended with 9308, 9434 : ONLY 1 GALAXY"
RBS1768,9434,PGC067067,1,"('324.7079166666667', '-38.477777777777774')","('324.43825', '-38.49256')",0.003766762,0.015038743,241.0158033,303.8838726,465.599834,x,8951,9162,-272,126.07,x,45.2,5,84,160,74,-99.99,x,-99.99,-99,Sb,Sb,0.030561,0.18299,x,1,FALSE,TRUE,9434,"9420, 9506",161,4.72E+13,25.2,Lya,blended with 9360 : ONLY 1 GALAXY
RBS2000,1598,NGC7582:[ZM98]0024,4,"('351.18625', '-40.680277777777775')","('350.20458', '-41.73083')",0.064775913,0,13.58681455,0.585662019,22.41287639,x,1369,1623,25,1,x,0.7,0.6,30,47,11.7,99.58,.SBS9..,0.83,-99,SAB(s)m,SAB(s)m,0.005414,0.17359,x,1,TRUE,FALSE,1598,"1555, 1641",35,6.81E+12,29,Lya,weak : VIRIAL AND CUSTOM INCLUDE MISMATCH
RBS2000,7681,x,0,"('351.18625', '-40.68027778')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.17359,x,0,FALSE,FALSE,7681,"7654, 7718",45,9.31E+12,21.9,Lya,weak : NO GALAXIES
MRC2251-178,888,UMaDwarf,1,"('343.52458333333334', '-17.581944444444446')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,253.8627719,x,1313,1101,213,0.1,x,-99.99,-99.99,-99,-99,34.7,-99.99,x,-99.99,-99,dSph,dSph,0.003673,0.06609,x,0,FALSE,FALSE,888,"856, 918",34,6.84E+12,21.4,Lya,weak : ONLY 1 GALAXY
MRC2251-178,2265,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,0,FALSE,FALSE,2265,"2210, 2322",76,1.55E+13,39.4,Lya, : NO GALAXIES
MRC2251-178,3061,PGC069976,3,"('343.52458333333334', '-17.581944444444446')","('343.6474', '-18.00054')",7.73E-06,1.33E-25,97.63112263,42.61276804,319.5058844,x,2991,3267,206,42.12,x,12.2,7.3,53,40,55.6,75.54,.IBS9..,-99.99,40,IB(s)m,IB(s)m,0.010898,0.06609,x,0,FALSE,FALSE,3061,"3006, 3116",69,1.39E+13,43.1,Lya,blended with 3205 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRC2251-178,3205,PGC069976,3,"('343.52458333333334', '-17.581944444444446')","('343.6474', '-18.00054')",2.03E-05,3.49E-25,97.63112263,42.61276804,319.5058844,x,2991,3267,62,42.12,x,12.2,7.3,53,40,55.6,75.54,.IBS9..,-99.99,40,IB(s)m,IB(s)m,0.010898,0.06609,x,0,FALSE,FALSE,3205,"3116, 3318",335,9.38E+13,52.9,Lya,blended with 3061 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRC2251-178,4698,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,0,FALSE,FALSE,4698,"4674, 4720",20,3.88E+12,15.6,Lya,weak : NO GALAXIES
MRC2251-178,8429,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,0,FALSE,FALSE,8429,"8382, 8480",40,7.74E+12,35.8,Lya,weak : NO GALAXIES
