Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
ESO343-G014,RBS1768,Lya,"5826, 5924",1,5863,102,6,2.31E+13,1.52E+12,32,2.8,53.4,4.7,"in pilot paper, blended with 5755",0.030561,0.18299,465.5992813,324.43825,-38.49256,324.7079167,-38.47777778,9162,9138.9,31.7,-99,-99,-99,-99,8951,126.07,45.23,4.975,4.5,0.5,241.13,90,0,160,74,x,-99.99,-99.99,-99,201920,2,92.4,Sb,0,x,15.9,-99.99,1.1,0.5,-99.99,-99.99
ESO343-G014,RBS1768,Lya,"6510, 6554",1,6531,15,5,3.01E+12,9.07E+11,14.7,2.9,24.4,4.9,"in pilot paper, super weak",0.030561,0.18299,465.5992813,324.43825,-38.49256,324.7079167,-38.47777778,9162,9138.9,31.7,-99,-99,-99,-99,8951,126.07,45.23,4.975,4.5,0.5,241.13,90,0,160,74,x,-99.99,-99.99,-99,201920,2,92.4,Sb,0,x,15.9,-99.99,1.1,0.5,-99.99,-99.99
ESO343-G014,RBS1768,no,"9284, 9332",1,9308,63,4,1.41E+13,1.09E+12,17.9,3.3,29.8,5.5,"not labeled, def looks like a blended component though",0.030561,0.18299,465.5992813,324.43825,-38.49256,324.7079167,-38.47777778,9162,9138.9,31.7,203,6,205,53,8951,126.07,45.23,4.975,4.5,0.5,241.13,90,0,160,74,x,-99.99,-99.99,-99,201920,2,92.4,Sb,0,x,15.9,-99.99,1.1,0.5,-99.99,-99.99
ESO343-G014,RBS1768,Lya,"9332, 9426",11,9360,306,3,1.25E+14,3.95E+12,31.8,1.6,53,2.6,"blended with 9308, 9434",0.030561,0.18299,465.5992813,324.43825,-38.49256,324.7079167,-38.47777778,9162,9138.9,31.7,203,6,205,53,8951,126.07,45.23,4.975,4.5,0.5,241.13,90,0,160,74,x,-99.99,-99.99,-99,201920,2,92.4,Sb,0,x,15.9,-99.99,1.1,0.5,-99.99,-99.99
ESO343-G014,RBS1768,Lya,"9420, 9506",11,9434,161,5,4.72E+13,1.91E+12,25.2,2.6,41.9,4.4,blended with 9360,0.030561,0.18299,465.5992813,324.43825,-38.49256,324.7079167,-38.47777778,9162,9138.9,31.7,203,6,205,53,8951,126.07,45.23,4.975,4.5,0.5,241.13,90,0,160,74,x,-99.99,-99.99,-99,201920,2,92.4,Sb,0,x,15.9,-99.99,1.1,0.5,-99.99,-99.99
IC5325,RBS2000,Lya,"1555, 1641",4,1598,35,9,6.81E+12,1.92E+12,29,4.8,48.2,7.9,weak,0.005013,0.17359,314.335827,352.18096,-41.33347,351.18625,-40.68027778,1503,1511.9,8.4,-53,5,-125,45,1246,18.1,20.45,18.61,3.4,3.1,139.44,25,9,15,64.1,.SXT4..,165.25,0.91,-99,200209,8,13.4,SAB(rs)bc,0,TF,11.9,-99.99,0.9,0.7,-99.99,-99.99
IC5325,RBS2000,Lya,"7654, 7718",1,7681,45,7,9.31E+12,1.52E+12,21.9,1.7,36.4,2.9,weak,0.005013,0.17359,314.335827,352.18096,-41.33347,351.18625,-40.68027778,1503,1511.9,8.4,-99,-99,-99,-99,1246,18.1,20.45,18.61,3.4,3.1,139.44,25,9,15,64.1,.SXT4..,165.25,0.91,-99,200209,8,13.4,SAB(rs)bc,0,TF,11.9,-99.99,0.9,0.7,-99.99,-99.99
MCG-03-58-009,MRC2251-178,Lya,"856, 918",1,888,34,5,6.84E+12,1.16E+12,21.4,1.9,35.7,3.2,weak,0.030121,0.06609,355.0699641,343.42021,-17.47889,343.5245833,-17.58194444,9030,9014.9,18.6,-99,-99,-99,-99,8754,142,75.31,50.46,7.4,5,342.79,49,4,27,71,.S?....,62.83,0.66,27,207780,1,89,Sc,0,TF,15.1,-99.99,2.9,1.4,-99.99,-99.99
MCG-03-58-009,MRC2251-178,Lya,"2210, 2322",1,2265,76,5,1.55E+13,1.10E+12,39.4,1.1,65.6,1.8,,0.030121,0.06609,355.0699641,343.42021,-17.47889,343.5245833,-17.58194444,9030,9014.9,18.6,-99,-99,-99,-99,8754,142,75.31,50.46,7.4,5,342.79,49,4,27,71,.S?....,62.83,0.66,27,207780,1,89,Sc,0,TF,15.1,-99.99,2.9,1.4,-99.99,-99.99
MCG-03-58-009,MRC2251-178,Lya,"3006, 3116",1,3061,69,4,1.39E+13,9.63E+11,43.1,2.5,71.8,4.1,blended with 3205,0.030121,0.06609,355.0699641,343.42021,-17.47889,343.5245833,-17.58194444,9030,9014.9,18.6,-99,-99,-99,-99,8754,142,75.31,50.46,7.4,5,342.79,49,4,27,71,.S?....,62.83,0.66,27,207780,1,89,Sc,0,TF,15.1,-99.99,2.9,1.4,-99.99,-99.99
